Dirección,Precio USD,Terreno m2
Bv 0,47.000,674
Pedro Vittori 3500,47.000,268
Calle Gozzarelli 5700,47.000,238
Velez Sarsfield 6700,47.000,143
Ituzaingo 900,47.000,380
Alfonsina Storni 2900,48.000,216
Calle Hipólito Irigoyen 2600,48.000,100
Obispo Boneo 3800,48.000,200
Ecuador 3700,48.000,107
San José 900,48.000,200
25 de Mayo 1200,48.000,181
Obispo Gelabert 1800,48.000,200
Saavedra 2400,48.000,314
Pje. Publico Sin Nombre 8800,48.000,450
Pasaje Arzamendia 5900,49.000,413
1º de Mayo 6800,Solicitar precio,61
Eva Peron 2200,49.000,217
Catamarca 3300,49.000,46.97
Artigas 3600,49.000,277
135 0,49.000,189
Calle Europa 6900,49.000,145
Autopista Rosario Santa Fe - Km 150. 0,49.000,175
Córdoba 1200,50.000,106
Centenera 4000,50.000,160
Moreno 3400,Solicitar precio,272
Pje. Calcuta 700,50.000,281
Uruguay 2700,50.000,131
O. Boneo 2600,50.000,432
Francisco Ponzio 300,50.000,175
Avenida General Paz 7300,50.000,131
Hipolito Irigoyen 2600,50.000,290
Espora 1800,50.000,112
Mitre 5700,50.000,150
Manzana 13 Vivienda 21  el Pozo 0,50.000,106
Alsina 4000,52.000,53.64
Necochea 6600,52.000,150
República de Siria 3700,52.000,112
Ángel Cassanello 3500,52.000,208
Castelli 1300,52.000,294.18
Monteagudo 4400,52.000,300
Avenida Juan José Paso 2900,52.000,195
Pasaje Arzamendia 5900,52.000,576
1 de Mayo 4500,52.000,433
Estanislao López 1300,Solicitar precio,300
Saavedra 1100,54.000,433
Pasaje Arzamendia 5900,54.000,300
Fray Cayetano Rodríguez 3800,54.000,162
Pasaje Arzamendia 5900,54.000,1650
Gobernador Crespo 3200,54.000,339
Calle Malaver 4600,54.000,480
Gaboto 2400,55.000,128
Alvear 4800,55.000,168
San Juan 1500,55.000,180
9 0,55.000,228
Luciano Molinas 1400,Solicitar precio,270
4 de Enero 2100,55.000,200
Gaboto 2400,55.000,150
Ignacio Risso 1000,55.000,390
Callejon Villalba 9900,55.000,750
Boulevard los Carolinos 3000,55.000,168
La Paz 3600,55.000,131
Pasaje Fray Luis Beltrán 4500,55.000,562
Mariano Comas 2900,Solicitar precio,243
Juan de Garay 5100,55.000,153
J. de Dios Mena 1800,55.000,180
Lisandro de la Torre 1600,55.000,162
Hernandarias 3700,55.000,401.5
Luciano Molinas 1400,Solicitar precio,450
Misiones 2200,Solicitar precio,339
Gral Paz 6500,55.000,261
Luciano Molinas 1400,Solicitar precio,672
Pasaje Arzamendia 5900,56.000,176
Canadá 1000,56.000,350
Manuel Leiva 4800,56.000,186
Juan José Paso 2900,56.000,260
Diagonal Hipólito Irigoyen 900,56.000,204
Iturraspe 2000,56.000,568
Beruti 4900,56.000,335
Calle Presidente Bartolomé Mitre 1200,57.000,254
Jose Macias 2500,57.000,175
Sargento Cabral 300,57.000,190
Castelli 2300,58.000,230
Rivadavia 7700,58.000,175
Obispo Boneo Santa Fe 1500,Solicitar precio,99
Belgrano 6500,58.000,185
7 de Marzo 1900,58.000,210.18
4 de Enero 2300,58.000,108
Mitre 5700,58.000,148
Presbitero Luis V.dusso 7800,58.000,313
Necochea 4800,58.000,206
Juan de Garay 4000,58.000,174.97
Pasaje Romero 9300,59.000,828
Mitre 5700,59.000,110.9
Rivadavia 2600,59.000,288
López y Planes 3200,59.000,900
