Nombre,Precio USD,Dirección,M2 Totales,Ambientes,Baños
CASAQUINTA RUTA 1 KM 13 ARROYO LEYES - EN VENTA,53.000,Los Flamencos Entre Calle 42 y Avenida de Lluvia 0,120,3,1
DEPARTAMENTO EN VENTA – B° CONSTITUYENTES,75.000,1ero de Mayo 2900,104.5,3,1
CASA MODERNA DE 3 DORMITORIOS EN VILLA CALIFORNIA,130.000,Las Torcacitas 2600,750,5,2
Cochera constituyente,10.000,Santiago del Estero 2800,12,,
Remax vende casa de dos dormitorios y patio seco,64.500,Dr. Zavalla 1700,160,4,1
VENTA DE HECTÁREAS EN SAUCE VIEJO SOBRE RUTA 11,Solicitar precio,Ruta Nacional 11 y  Uspallata S/N,1.8,,
EXCLUSIVO LOTE EN EL PINAR,90.000,Lote en el Pinar 200,,,
Terreno en venta en Sauce viejo Los conquistadores,9.500,Calle 47 S/N,,,
Se vende depto tres dormitorios en Sargento Cabral,73.000,Pedro Zenteno 2100,60.8,5,1
SE VENDE TERRENO EN LOTEO SAN MIGUEL 1,21.000,Dr. Ángel Gallardo S/N,,,
Amplia Casa con Cochera y Gran Patio Verde,42.000,Aguado 2200,98,2,1
Vendo Excelente Departamento!!!,128.000,Amenábar 3200,92.99,3,1
"SE VENDE HERMOSA CASA EN EL PASO, DESOCUPADA",320.000,Autovia Santa Fe- Rosario 0,180,4,2
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,54.000,Pasaje Arzamendia 5900,44.5,2,1
Casa de categoría  en zona norte,120.000,Los Nogales 2400,216,4,2
Venta departamento un dormitorio oportunidad,65.000,Regis Martínez 1700,45,2,1
Venta - Quinta Arroyo Leyes,35.000,C. los Crestones 0,109.6,3,2
VENTA TERRENO,16.000,Formosa S/n S/N,,,
Se vende Cochera en Microcentro - Eva Perón 2411,5.500,Eva Peron 2400,12.5,,
"VENTA: LOCAL EN CONSTRUCCIÓN, EXCELENTE UBICACION",120.000,La Rioja 2400,96.08,,1
TERRENO P/ DESARROLLO INMOBILIARIO ZONA TRIBUNALES,600.000,San Jeronimo 1400,,,
CASA 3 HABITACIONES EN SANTO TOMÉ,67.000,Juan José Paso 1300,190,6,2
REMAX VENDE CASA 3 HABITACIONES,42.000,Pasaje Paraná 3800,57,5,2
Dpto de 2 dorm amplio en pleno Constituyentes,105.000,Obispo Gelabert 3300,75,3,1
Casa Funcional con dos locales comerciales. Centro,275.000,Lisandro de la Torre 2500,320,10,4
CASA INTERNA AMPLIA 2 DORM A MTS DEL CENTRO,68.000,"25 de Mayo, 1600",115,4,1
OPORTUNIDAD A REFACCIONAR EN B° SGTO CABRAL,42.000,Alberdi 5500,190,4,1
Terreno en venta sobre Av. French,46.350,Avenida French 2600,,,
Terreno Zona Norte,35.000,Callejón Funes S/N,,,
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,51.000,Pasaje Arzamendia 5900,44.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,49.000,Pasaje Arzamendia 5900,39.5,2,1
"VENTA DE DPTO 2 DORMITORIOS ""BOULLEVAR CENTER"" T 1",Solicitar precio,San Martín 3600,80,3,2
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,51.000,Pasaje Arzamendia 5900,44.5,2,1
Casa en venta de 2 dormis y piscina a estrenar,79.000,Juan M de Rosas Esquina Alberti 1200,75,3,1
VENTA DE DEPARTAMENTO 1 DORMITORIO FINANCIADO,Solicitar precio,Sara Faisal 1800,54,2,1
"EN VENTA PLANATA ALTA, 2 DORM, Z/CENTRICA STO TOME",60.000,Pasaje Hernández 2600,92,3,1
CASA EN VENTA - BARRIO CANDIOTI,148.000,Castellanos1 2000,72,2,1
Se VENDE Fondo De Comercio de lavadero en Bv.,35.000.000ARS,1º de Mayo 3400,150,,2
VENDEMOS CAMPO 3has ARROYO LEYES km 19,80.000,Zona Rural S/N,,,
Inversor Fideicomitente. Desarrollo Exclusivo.,249.000,Tucuman 2900,170,7,3
Venta Dpto 2 dorm. en desarrollo - Excelente zona,125.700,San Lorenzo 2700,74.5,3,2
"Casa 2 Dorm, 2 Patios, Guadalupe Este",47.000,Velez Sarsfield 6700,83,4,1
VENTA GRAN TERRENO,45.000,Los Poetas 2000,,,
Tu hogar te está esperando!!,67.000,Zavalla 1800,250,5,2
SE VENDE EXCELENTE CASA AL FRENTE EN SANTO TOME!!,82.000,Rivadavia 1200,135,6,2
SE VENDE CASA-QUINTA EN SAUCE!!!,145.000,Calle Presidente Bartolomé Mitre 1100,219,4,2
LOTE EN LOS DOMINGOS - ETAPA 1,32.500,Los Domingos S/N,,,
LOTE EN LOS DOMINGOS - ETAPA 1,32.500,Los Domingos S/N,,,
Venta Cochera Urquiza y Juan de Garay,8.900,Urquiza 2000,15,,
VENTA CASA EN CALLE BELGRANO 5600-B° Sgto. Cabral,85.000,Belgrano 5600,90,3,1
Casa elevada con amplio terreno en Arroyo Leyes,40.000,Los Tordos 0,94,3,2
TERRENO APTO PARA EMPRENDIMIENTO ó LOCAL CÉNTRICO.,250.000,Rivadavia 2700,,,
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,52.000,Pasaje Arzamendia 5900,39.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,54.000,Pasaje Arzamendia 5900,44.5,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,56.000,Pasaje Arzamendia 5900,51,2,1
VENTA CASA CON COHERA EN SANTO TOME,90.000,Gaboto 2300,147,6,2
VENTA DPTO.3 DORMITORIOS - LAS FLORES 1,20.000,Pasaje Público 4800,62.42,5,1
CASA APTA CREDITO CON LOCAL COMERCIAL,44.000,Corrientes 1500,136,4,1
DEPTO DE UN DORMITORIO FRENTE A AV.ALEM,63.000,Belgrano 2600,50,2,1
CONJUNTO ARZAMENDIA - DEPARTAMENTO EN POZO,58.000,Pasaje Arzamendia 5900,54.1,2,1
VENTA CASA  EN CANDIOTI SUR,Solicitar precio,Belgrano 3200,368,4,4
TERRENO EN VENTA A MTS DE AVDA PEÑALOZA,20.000,Javier de la Rosa 3800,,,
Venta: Depto 2 dorm.+coch. en Torre 3 Garden Inn.,220.000,Calle 1º de Enero 2400,93,3,2
TERRENO EN VENTA - SOLARES DE PAUCKE - 813 m2,65.000,Calle Desconocida S/n S/N,,,
VENTA HERMOSA CASA NUEVA EN LOS MOLINOS,190.000,Country los Molinos 0,651.38,5,2
TERRENO EN VENTA - SOLARES DE PAUCKE - 810 m2,65.000,Calle Desconocida S/n S/N,,,
"Venta departamento en Garden Inn 1 dormitorio, T3",Solicitar precio,Calle 1º de Enero 0,55,2,1
Venta: depto 1 dorm. piso 11- Amarras Center T.3,139.000,Sara Pinasco de Julierac 1700,59,2,1
EXCELENTE CASA TRES DORM. COCHERA PILETA Y QUINCHO,225.000,Espora 1800,432.28,8,2
VENTA TERRENO SANTO TOME,15.000,Gorostiaga 2100,,,
DEPARTAMENTO DE CATEGORÍA - CÉNTRICO,100.000,Tucumán 2400,104,2,1
VENTA DE DPTO DE 1 DORM. Y COCHERA - SOFIA VI- 5 B,Solicitar precio,4 de Enero 3000,60,2,1
VENTA TERRENO SANTO TOME,17.000,Jj Paso 2500,,,
DEPARTAMENTO DE 1 DORMITORIO EN CANDIOTI NORTE,Solicitar precio,Güemes 3800,56.8,2,1
VENTA DE GALPÓN EN BARRIO CANDIOTI NORTE,330.000,Juan del Campillo 1200,678,,1
Casa Interna única en Barrio Candioti de 2 dorm.,85.000,Luciano Molinas 2300,102,3,1
Venta - Departamento Zona Centro,48.000,Hipolito Irigoyen 2600,40,2,1
VENTA DEPTO 3 DORMITORIOS,18.000,Fonavi San Geronimo 0,84,4,1
Casa de 3 dormitorios con patio y pileta,165.000,Santiago del Estero 1800,273,6,3
CASA QUINTA,48.000,103 S/n 0,700,3,2
VENTA DEP 2 DORMITORIOS Y COCHERA EDIF FENIX,275.000,Boulevard Pellegrini 2700,84.59,4,2
QUINTA A LA VENTA EN CALLE DEL SOL VILLA CALIFORNI,95.000,Calle del Sol 2600,1241,2,1
"Casa de diseño moderno en Rincón km 4,5",220.000,Los Aromitos 600,436,5,3
Departamento de 2 dormitorios y cochera,97.000,Domingo Silva 2300,71,3,1
CASA DE 2 DORMITORIOS A ESTRENAR EN QUILOAZAS,119.000,"Ruta 1 Km 9,5 0",500,4,1
Se VENDE CASA en Llambi Campbell,Solicitar precio,Laprida 300,87,4,2
CASA EN BARRIO ROMA DE TRES DORMITORIOS Y PILETA,146.000,Gobernador Vera 3500,163,6,2
Venta amplio SALON PARA FIESTAS U OFICINAS,Solicitar precio,Sarmiento 8100,330,5,4
CAM 100 VENTA DEPART. 2 DORM. 2 BAÑOS - AMENITIES,215.000,Avenida Leandro N. Alem 1900,97,3,2
CASA DE DOS DORMITORIOS EN SANTO TOME,79.500,Calle Belgrano 1300,295,4,1
SOFIA II VENTA SEMIPISO 2 DORMIT. 2 BAÑOS 106 m2.,212.000,Suipacha y 4 de Enero 3000,106,3,2
SOFIA II VENTA DEPARTAMENTO 1 DORMIT. 60 m2,120.000,Suipacha y 4 de Enero 3000,60,2,1
Departamento en venta 3 dormitorios,215.000,Pasaje Bustamante 2200,152.54,5,3
Casa de categoria en Santo Tome,140.000,Frutos 2500,258,6,3
"TORRE FÉNIX, PISO 22",380.000,Boulevard Pellegrini 2700,128,4,2
VENTA TORRE SAKURA- EN POZO-SOBRE BOULEVARD 2 DORM,226.500,Boulevard Pellegrini 2800,81.34,3,2
VENTA COCHERA EN TORRE SAKURA SOBRE BOULEVARD,27.000,Boulevard Pellegrini 2800,12,,
VENTA CASA DE 3 DORMITORIOS EN CONSTITUYENTES,170.000,Suipacha 3100,167,5,2
LOTE 1000M EN BARRIO PRIVADO QUILOAZAS,47.000,Calle Desconocida  S/N,,,
DEPARTAMENTO A ESTRENAR DE 1 DORMITORIO B CANDIOTI,78.000,Luciano Molinas 1800,39.06,2,1
CASA APTA A CREDITO !,55.000,Gobernador Freyre 4700,128,3,1
"Casa de 2 dormitorios , Local y cochera",38.000,Doctor Zavalla 7100,144,4,1
Lote en venta El Carmen Sauce Viejo,25.000,Loteo el Carmen Sauce Viejo S/N,,,
VENTA CASA 2 DORMIT. SANTO TOMÉ-MUY BUEN TERRENO,56.000,Manuel Leiva 4800,115,3,1
"PLANTA ALTA EN PLENO CENTRO, EXCELENTE CALIDAD",130.000,9 de Julio 2500,134,6,1
TERRENO CON MEJORAS,13.500,Mahatma Ghandi 1700,,,
AMPLIO DPTO CON BALCÓN FRENTE A LOS BOMBEROS,135.000,1º de Mayo 2400,65.39,3,2
Venta de Terreno  4700 m² sobre Ruta 168,80.000,Ruta Nacional 168 S/N,,,
LOCAL COMERCIAL BOULEVARD PELLEGRINI Y RIVADAVIA,Solicitar precio,Boulevard Pellegrini 2400,66.85,,2
LOCAL COMERCIAL BOULEVARD PELLEGRINI Y RIVADAVIA,Solicitar precio,Boulevard Pellegrini 2400,125.45,,2
CASA QUINTA EN COUNTRY UBAJAY.,123.000,Club Nautico Ubajay 3000,165,3,2
Departamento 2 dormitorios a estrenar,157.000,La Rioja 3300,79.1,3,2
"EXCELENTE TERRENO DE 1000M2, INMEJORABLE UBICACIÓN",65.000,Los Zorzales 5800,,,
LOTE A LA VENTA - B° Privado LA RESERVA (700 m2),71.000,Lote 25 0,,,
"Venta casa con garage, local y departamento",230.000,San Martín 3700,208,9,3
Casa en venta en Recreo sur a Estrenar!,Solicitar precio,Cardenales 0,168,4,2
SE VENDE AMARRAS CENTER TORRE I PISO 6 1DOR/COCHER,150.000,Sara Pinasco de Julierac 300,58,2,1
SE VENDE CASA EN LOS MOLINOS EN CONSTRUCCION,128.000,Monseñor a Rodriguez 0,182.29,6,2
VENTA - PLANTA BAJA DE 2 DORMITORIOS CON COCHERA,125.000,9 de Julio 3000,166,6,1
VENTA TERRENO EN RINCON,18.000,Ulises Moset S/N,,,
Departamento 1 dormitorio a estrenar,68.500,La Rioja 3300,36,2,1
Casa a la venta 2 dormitorios cochera patio,75.000,Chaco 2600,203,5,2
"CASA EN ZONA CENTRO CON PATIO, COCHERA Y QUINCHO",210.000,4 de Enero 2800,293.25,7,2
VENTA CASA  EN BARRIO RECOLETA,250.000,Obispo Gelabert 2400,424,9,3
