Dirección,Precio USD,Terreno m2
Calle 1º de Enero 100,19.000,217
J. Mantovani 6500,19.000,260
Roverano 1900,19.000,675
Santa Cruz 6100,19.500,882.49
San Martín y los Pinos S/N,Solicitar precio,882.49
El Refugio S/N,19.900,600
Fonavi Centenario Manz 0,20.000,360
Av. del Inmigrante 0,20.000,200
Dr. Ángel Gallardo 0,20.000,670
San Martín 3600,20.000,290
Monseñor Zazpe 2400,20.000,532
Callejon Vega y Ruta 1 S/N,20.000,625
Hipólito Irigoyen 2700,20.000,300
Callejón Aguirre 5300,20.000,240.3
San Martín 3600,20.000,650
"Calle N° 74, Manzaza 33, Lote 15, Lagos del Leyes 0",20.000,133
Calle Hipólito Irigoyen 3900,20.000,260
Estados Unidos S/n S/N,20.000,292
Suipacha 2700,20.000,200
Dr. Ángel Gallardo S/N,20.000,432
Javier de la Rosa 3800,20.000,432
Santa Fe 100,20.000,1875
Callejon Vidal 9900,20.500,851.52
Callejon Vidal 9900,20.500,889.14
Callejon Vidal 9900,20.500,860.33
Callejon Vidal 9900,20.500,832
Monseñor Zazpe 2400,20.580,69
Sara Faisal Piso 2 Cochera 9 1800,20.800,480
"Ruta Provincial 1, Km 16,5 S/N",21.000,460
Canadá S/N,21.000,459.52
Remedios de Escalada de San Martín 3500,21.000,200
Dr. Ángel Gallardo S/N,21.000,216
Pasaje Público 10400,21.000,375
Luis Leon de los Santos 2500,21.000,280
Berutti 3500,21.000,525
Hipolito Irigoyen 2700,21.000,450
Ruta 11 S/n S/N,21.000,237
Rosaura Schweizer S/N,22.000,208
Entre Bvs 1000,22.000,21
Eva Perón 2200,22.000,21
San Lorenzo 3000,22.000,237
Diagonal Cervera 6500,22.000,920
Entre Bvs 1000,22.000,400
Sarmiento 2700,Solicitar precio,309
"Santa Fe, Santa Fe 0",22.000,240
"Portal del Leyes, Lote 3, Mza L S/N",22.000,400
Los Lapachos S/N,22.000,426
Sara Faisal 1800,22.065,281.5
Mauri 3100,22.300,600
Laprade 3100,22.400,250
Avenida General López 2800,22.500,300
Avenida los Quinteros Loteo San Miguel I S/N,22.500,202
La Rioja 3300,22.500,825
Laprade S/N,23.000,240.3
Doctor Zavalla 8100,23.000,418
San Martín 3500,23.000,250
San Martín 3500,23.000,825
Avenida Lujan 4100,23.000,600
Calle 62 S/N,23.000,200
Boulevard los Pinos S/N,23.000,163
Regimiento 12 de Infantería 4500,23.000,202
Pje 40.5 S/N,23.000,240
Azcuénaga 5600,23.000,240
Córdoba 1400,23.000,240.3
Boulevard Pellegrini 2800,23.100,260
Laprade 3100,23.400,240
Laprade 3100,23.400,733
Maletti 3100,23.400,400
Laprade 3100,Solicitar precio,240
Laprade 3100,23.400,692
Las Perdices y Fresnos S/N,Solicitar precio,350.94
Los Domingos S/N,23.500,525
Laprade 3100,23.691,960
Maipú S/N,24.000,208
Calle S/n Colastine 1000,24.000,692
Juan de Garay S/N,Solicitar precio,300
Mendoza 1500,24.000,347
Calle G Carrasco 9700,24.000,128.67
Praderas 0,24.000,400
Aguado 1700,24.000,191
Corrientes 4700,24.000,432
Entre Rios 2200,24.000,200
N°7 Entre los Citricos y Azahar de Monte S/N,24.500,1220
San Martín 2100,25.000,280
Juan Lavalle 2100,25.000,250
Pasaje Turquia Lote Nro 83 S/N,25.000,250
25 de Mayo 2600,25.000,468
Pasaje Rusia Lote Nro 72 S/N,25.000,585.87
Papa Francisco Entre Av. I. Crespo y Dr. Favaloro Las Mercedes S/N,25.000,377
Callejón Reina S/N,25.000,162.4
Castelli 3900,25.000,190
Regis Martínez 3800,25.000,520
Zavalla 2300,25.000,250
